User Code,Video Code,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max,total_survey,total_I/N,captivation,cap_I/N,dissociation,dis_I/N,comprehension,com_I/N,transportation,tra_I/N
28,2,273.1142857,214.1659601,67,150,217,312,1732,37.6156406,19.00702559,17,17,33,50,133,3.694610778,1.107001675,1,3,4,4,6,3.658682635,1.574543174,0,3,4,5,11,353.7292707,234.5263835,56.79602551,195.6343838,291.7806549,431.6211015,1621.224938,15.18014598,11.40778853,0.965532434,6.014925824,12.06136186,21.04578475,56.458685,0.058062573,0.229492544,-1.074482338,-0.056982338,0.110517662,0.213017662,0.400517662,6.133333333,1,6.25,1,7,1,5.333333333,1,6,1
29,2,344.9305211,310.2723168,67,167,250,416,3431,41.32087912,18.32592538,17,33,50,50,100,3.167664671,1.090223226,1,2,3,4,6,2.796407186,1.263667078,0,2,3,4,5,352.6689932,224.674158,39.99214452,190.6650185,292.6457885,445.0425041,1387.82526,16.10076224,11.89022425,1.319740769,6.445605652,13.08552493,23.57030964,71.23524767,-0.022885601,0.244228979,-0.811747876,-0.206747876,0.018252124,0.140752124,0.528252124,5.066666667,1,5,1,5,0,6,1,4,1
30,2,274.5607287,227.2138402,67,150,200,333,2099,38.2599278,17.94529412,17,17,33,50,100,3.676646707,1.203756475,1,3,4,5,6,3.425149701,1.57696974,0,2,3,4,10,367.9002093,248.2768984,32.8847134,212.4776452,296.9376169,445.468689,1408.914265,14.91396748,10.97747546,0.676156596,6.942430737,12.84882629,19.24390321,70.46282438,-0.112217627,0.276939088,-1.592487088,-0.214987088,-0.052487088,0.050012912,0.462512912,5.933333333,1,6.125,1,6,1,6.333333333,1,4.5,1
1,3,427.6910299,460.0520415,67,150,300,533,3847,26.82388664,13.78991004,17,17,17,33,83,2.696774194,1.118755068,1,2,3,3,6,3.238709677,2.468197384,0,1,3,4.5,11,306.5175417,237.0407708,39.42162091,169.7219425,243.7913698,361.8993497,1792.208277,9.136331599,7.20267872,0.670167555,4.113847218,6.324005257,11.87495777,40.62239492,0.163502039,0.371512325,-1.029885057,-0.077385057,0.165114943,0.442614943,1.005114943,3.133333333,0,3.625,0,6,1,1,0,1.5,0
2,3,540.875,1095.394016,67,167,266,416,10393,36.23033708,19.51027987,17,17,33,50,150,2.35483871,1.282964989,1,1,2,3,5,2.329032258,2.045297671,0,0,2,4,7,300.1068471,201.1345106,56.00003525,161.6617627,229.793221,378.2427524,1367.562263,12.74107563,10.48503523,0.952000599,5.259605172,9.599571155,17.56199439,58.21340453,0.885727846,0.497180797,-1.149885057,0.672614943,0.975114943,1.227614943,1.585114943,2.6,0,2.25,0,4.5,0,2.333333333,0,2.5,0
3,3,464.5154639,317.3445353,67,250,383,591.5,2248,41.00302115,16.93203857,17,33,33,50,83,2.696774194,0.949190999,1,2,3,3,5,2.225806452,1.208994361,0,1,2,3,7,366.7098748,239.3411071,42.47252926,221.8939972,294.4305347,424.6538712,1494.167571,15.11968875,8.571599552,1.249389188,8.225753734,13.20749554,20.70521698,44.86863698,0.525082684,0.260853057,-0.259885057,0.352614943,0.545114943,0.727614943,1.180114943,4.266666667,0,4.75,1,6.5,1,3.666666667,0,1,0
4,3,232.0704846,265.7004976,67,100,167,266,3364,20.85278746,10.2480194,17,17,17,17,100,3.503225806,1.406728698,0,2,4,5,7,7.438709677,4.419678355,0,4,7,10,24,188.7378069,128.0899323,7.474693156,105.390916,150.2622882,229.4193385,819.6057453,4.984729627,5.769394335,0.127069784,1.866374851,2.797732624,6.192630538,43.40736985,-0.151530219,0.328355856,-1.419885057,-0.277385057,-0.064885057,0.037614943,0.485114943,4.666666667,1,5.125,1,5.5,0,3,0,4.5,1
5,3,485.5833333,707.7740345,67,167,283,450,6312,29.56185567,16.75461412,17,17,17,50,100,2.587096774,1.188620814,1,2,3,3,6,2.55483871,2.16567657,0,1,2,4,10,382.5317291,277.5917118,51.71807441,202.9240286,297.1424392,485.6463846,1643.427418,14.19802413,10.99752225,0.879207265,5.383800231,11.39489749,20.44701895,55.18815872,0.306318,0.337868792,-0.910617484,0.146882516,0.384382516,0.541882516,0.964382516,4.466666667,0,4.375,0,5,0,4.333333333,0,4.5,1
6,3,420.3422619,357.1065297,67,183,300,550,2115,32.97667638,13.08718106,17,17,33,33,100,2.993548387,1.131007907,1,2,3,4,6,2.277419355,1.292010835,0,1,2,3,6,283.9903111,177.9443756,45.13638423,181.977492,246.6065384,319.6523735,1369.63435,9.195818871,5.795899802,1.30392835,5.184961938,7.660461064,11.50389532,33.47879725,0.793801871,0.350015285,-0.670617484,0.596882516,0.879382516,1.026882516,1.314382516,5.933333333,1,7,1,6.5,1,2.333333333,0,6.5,1
7,3,418.5981873,385.012379,67,183,300,516,3181,35.33428571,15.85752184,17,17,33,50,100,2.948387097,1.18318055,1,2,3,4,6,2.309677419,1.370220107,0,1,2,3,5,399.1072018,341.7566743,53.10407308,201.7717919,291.6586659,468.2744217,2577.273088,12.93880151,9.479615435,1.689080586,5.855644422,10.09015094,17.25101752,51.61090751,1.147769613,0.349741526,-0.710617484,0.976882516,1.144382516,1.394382516,1.749382516,4.866666667,1,4.75,1,6.5,1,4.333333333,0,4.5,1
