User Code,Video Code,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max,total_survey,total_I/N
1,1,-0.110864778,-0.491057444,0,0.112930912,0.138795871,0.029564045,-0.799881834,-0.562115771,-1.232779953,-2.449489743,0,-0.40824829,-0.011448964,-0.592717408,-0.094018438,0.189991554,-0.522232968,-0.40824829,0.40824829,0.632455532,0.632455532,-0.706596175,-0.862779932,-0.277350098,-0.552344771,-0.909653113,-0.830968804,-0.567771443,1.257842813,0.966825449,-0.866345938,1.100425311,1.287581767,1.550075256,1.571410748,0.993918407,1.668708339,-0.791386217,0.312861925,0.247249365,0.965377752,2.18400121,-2.746454298,3.4357547,-2.667205045,-3.076596045,-2.946801295,-1.729333697,0.168659625,4.33,1
1,2,-0.460170361,-0.564190047,0,-0.519482196,-0.366249898,-0.44077303,-0.898557918,-0.884547878,1.126353102,-2.449489743,0,-0.40824829,-0.011448964,2.445364171,0.978652673,0.527361264,1.914854216,-0.40824829,0.40824829,0.632455532,0.632455532,0.728414513,1.297582296,-0.277350098,0.092057462,0.50536284,0.90538392,0.296228579,2.962088109,2.325521445,2.105913191,2.607790249,2.829093506,2.846270968,0.597281077,0.974294483,0.848592741,2.716925186,1.174777226,0.799937587,0.337388144,1.084275651,1.854514936,-0.178647175,0.795611976,1.504624119,1.747493244,2.450614,1.310689746,3.2,0
1,3,0.781466491,0.609596761,0,-0.184675256,0.48975988,0.810323589,0.055542524,-0.498487689,-0.581500102,0.40824829,0,-0.40824829,-0.011448964,0.903651131,-2.036762607,-0.792147493,-0.522232968,-0.40824829,-2.449489743,-1.58113883,-0.474341649,-0.736569831,-0.53257475,-0.277350098,-0.552344771,-0.909653113,-0.830968804,-0.04937143,-0.83845246,-1.151271273,0.00744975,-0.458865212,-0.702781155,-0.930475688,0.344900681,-1.428575911,-0.331455983,-0.076582207,-0.704419053,-1.42137677,-1.921340403,0.153973349,-0.767911167,0.323120062,-0.254488124,-0.705357413,-0.611673081,-0.856423244,-0.575971135,4.8,1
1,4,-0.201969508,-0.411094978,0,0.41053708,-0.366249898,-0.130350561,-0.534429272,1.226155902,1.76989629,0.40824829,0,-0.40824829,-0.011448964,0.903651131,0.466734086,-0.804370491,1.914854216,-0.40824829,0.40824829,0.632455532,1.739252713,-0.370346323,-0.575657417,-0.277350098,0.092057462,-0.437981128,-0.483698259,0.123428575,0.171490515,-0.548460442,-0.767828629,0.419590911,0.386413974,0.192719648,-0.189306097,1.049561683,0.14935204,-0.710794645,0.592779439,1.105213959,1.357418659,0.615312952,0.656865819,-0.007425767,0.311824196,0.408163521,0.676070332,0.959344631,0.805254998,5.6,1
1,5,-0.651991703,-0.323171637,0,-0.817088364,-0.640173026,-0.600687636,0.414806856,0.106637002,0.60242509,0.40824829,0,-0.40824829,-0.011448964,0.178139112,0.21754717,-0.074148649,-0.522232968,-0.40824829,0.40824829,0.632455532,0.632455532,0.47639758,0.767683503,-0.277350098,0.092057462,0.50536284,0.558113376,0.814628593,0.291732872,0.658276701,-0.412826384,0.091848631,0.089362056,0.365891236,1.09749527,1.572447524,1.201210672,-0.42038691,0.986882667,1.219610625,1.528500224,0.99584563,-0.201715638,-0.395638024,-0.526304383,-0.040944666,-0.146938538,-0.436767095,0.69304778,5.53,1
1,6,1.7898588,0.93390631,0,2.428678909,2.201779434,1.910912345,0.646209221,1.983759517,0.231495558,0.40824829,0,2.449489743,-0.011448964,-0.592717408,-1.045318667,-1.846412815,-0.522232968,-0.40824829,0.40824829,-1.58113883,-1.58113883,-1.415709478,-1.862437408,-0.277350098,-1.196747003,-0.909653113,-1.525509893,-1.95017148,0.199643386,-0.297670717,1.178107703,0.807111763,0.280780805,-0.173402288,0.01386998,0.170402385,-1.567180185,0.88106843,1.33345016,0.743632238,-0.063001845,-0.527991955,0.282152284,-0.176923018,-0.779052158,0.39001605,0.235258487,0.054930989,1.251054736,3.33,0
1,7,0.020848273,-0.725815525,0,1.042950188,0.780803204,0.104817977,-1.2751948,2.071772501,1.621792173,0.40824829,0,2.449489743,2.713404485,-1.363573928,0.772243432,-0.308767216,-0.522232968,-0.40824829,0.40824829,0.632455532,-1.58113883,-0.837336174,-1.35845482,-0.277350098,-0.552344771,-0.909653113,-0.830968804,-1.777371475,-0.589911318,-1.473574255,0.944908771,0.020613056,-0.468697994,-0.73061096,-2.273013508,0.727068698,0.232992375,0.690301258,1.480880013,1.086315297,-0.370718101,0.216379446,0.04382135,-0.567549224,-0.552262018,0.466394325,0.176151,-0.471249789,-2.072851269,5.2,1
1,8,-0.616481747,-0.639333661,0,-0.342778533,-0.640173026,-0.600687636,-0.824203404,-0.232113846,0.207796063,0.40824829,0,-0.40824829,-0.011448964,-0.592717408,1.259343651,-0.576959852,-0.522232968,2.449489743,0.40824829,0.632455532,0.632455532,0.452829863,0.647566994,3.605551275,0.092057462,0.50536284,0.558113376,0.814628593,-0.123103823,-0.8435151,-0.396396624,-0.08329297,0.296118351,0.005761999,-1.317102018,0.278206591,0.082085297,-0.40694663,-0.165328369,0.529322111,0.775106536,-0.125335382,0.197990446,-0.617417695,0.775767027,0.294140596,0.25983188,-0.010645259,-0.952923565,6.67,1
1,9,1.645828813,1.229989833,0,1.042950188,1.636812981,1.750997739,0.553092354,0.082319672,-1.055230339,0.40824829,0,-0.40824829,-0.011448964,-1.363573928,-0.934261872,-0.950218023,1.914854216,-0.40824829,0.40824829,-1.58113883,-0.474341649,-1.097452448,-0.971604723,-0.277350098,-1.196747003,-0.909653113,-1.004604076,-1.258971461,-0.257061627,0.203885241,0.600701084,-0.054586714,-0.3596509,-0.473338158,0.111875911,-1.311685182,-2.110229357,0.408723953,0.00127803,-0.879315698,-1.324504663,-1.625401149,1.207531919,-0.866806042,1.874825547,1.005746166,0.999012987,1.32416787,1.164757912,3.13,0
1,10,-0.179800146,0.320780921,0,-0.50088181,-0.366249898,-0.44077303,0.703886087,-0.168278228,0.015412693,0.40824829,0,-0.40824829,-0.011448964,0.178139112,-0.165676066,0.548392333,-0.522232968,-0.40824829,0.40824829,0.632455532,-0.474341649,0.034429321,0.469992767,-0.277350098,0.092057462,0.033690856,-0.136427714,0.296228579,-0.081610469,-0.078593812,-1.13392325,-0.065535672,-0.084780176,-0.231106571,-1.199233542,0.61909225,0.381848571,-0.929676636,-0.069387905,0.929390693,0.644084785,-0.079427264,-0.075014837,-0.064691593,-0.268338567,0.107767708,0.022736053,-0.311448217,-0.871474277,3.93,0
