User Code,Unnamed: 0,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
1,1_seg01,363.9583333,388.3669801,75,117,250,339.75,1592,31.92857143,17.35026645,8,17,29,42,75,1.904761905,0.889087279,0,1,2,2,4,1.333333333,1.197219,0,1,1,2,5,716.1660113,488.3744492,153.8354309,388.7756143,590.7852218,855.0945434,1840.032869,23.18962296,18.91597631,2.615202326,12.19365704,16.35557505,32.63076577,78.82948455,-0.671621407,0.935628895,-3.50947855,-0.83947855,-0.23447855,-0.03947855,0.20552145
1,1_seg02,335.5714286,303.4060124,67,142,275,408,1592,28.83870968,15.29190673,8,17,25,39.75,75,1.951219512,0.773020683,0,2,2,2,4,1.536585366,1.163992289,0,1,1,2,5,643.4595158,383.4267544,77.72217072,392.6176198,609.0904363,782.6358148,1840.032869,21.03015396,16.61505622,1.321276902,10.80563279,16.47274352,29.69335053,78.82948455,-0.476307818,0.85005276,-3.50947855,-0.66947855,-0.12447855,0.01552145,0.40552145
1,1_seg03,334.9066667,295.4815663,67,142,267,400,1592,27.09473684,14.52369574,8,17,25,33,75,2.032786885,0.795135484,0,2,2,3,4,1.573770492,1.175571016,0,1,1,2,5,538.6961622,356.9560063,77.72217072,285.8558141,470.0475965,669.1938638,1840.032869,16.9588833,15.17958461,1.321276902,6.322586933,13.84434667,24.36540345,78.82948455,-0.381855599,0.776643208,-3.50947855,-0.49447855,-0.06947855,0.08552145,0.40552145
1,1_seg04,336.4646465,291.9510832,67,142,258,408,1592,27.34090909,14.48127485,8,17,25,33,75,2.049382716,0.773001206,0,2,2,3,4,1.654320988,1.31491914,0,1,1,2,6,544.8697546,337.2056352,77.72217072,298.0393743,512.6744404,657.8696563,1840.032869,17.78488217,15.38405145,1.321276902,6.714384155,14.00910662,25.38940294,78.82948455,-0.362750155,0.759686679,-3.50947855,-0.49447855,-0.05947855,0.12052145,0.40552145
1,1_seg05,335.0413223,289.7216594,67,150,242,408,1592,27.40883978,16.00967517,8,17,17,33,83,2.00990099,0.78096158,0,2,2,3,4,1.841584158,1.653678767,0,1,1,2,10,568.8035879,327.1921157,77.72217072,329.6273016,539.9597343,698.0771033,1840.032869,18.68759243,15.64385468,1.321276902,7.059611515,14.46553677,25.892123,78.82948455,-0.348240926,0.751907044,-3.50947855,-0.49447855,-0.02447855,0.13552145,0.40552145
1,1_seg06,317.6533333,267.3645674,67,150,242,375,1592,28.32258065,16.26109583,8,17,25,33,83,2.041322314,0.768078709,0,2,2,3,4,1.834710744,1.567094485,0,1,1,2,10,566.994614,305.1342843,77.72217072,363.4574326,542.7284129,706.6813232,1840.032869,19.36695009,14.892356,1.321276902,7.565350122,15.22726091,27.1743579,78.82948455,-0.418114914,0.77439896,-3.50947855,-0.74447855,-0.08447855,0.09552145,0.40552145
1,1_seg07,322.5581395,264.3936284,67,150,242,392,1592,28.968,17.00717354,8,17,25,42,100,2.035460993,0.759805873,0,2,2,3,4,1.822695035,1.577899544,0,1,1,2,10,576.382815,297.843072,77.72217072,370.8646379,556.8963216,740.3337156,1840.032869,20.10972057,15.33772842,1.321276902,7.712799717,15.62828655,28.31564907,78.82948455,-0.412953727,0.768045279,-3.50947855,-0.66947855,-0.08947855,0.08552145,0.40552145
1,1_seg08,314.174359,264.5167162,67,150,233,379,1592,28.13898305,16.87058601,8,17,25,33,100,1.968944099,0.793901444,0,1,2,3,4,1.900621118,1.662847591,0,1,1,2,10,564.8534531,299.4529549,63.00815657,337.725259,547.67049,728.6470548,1840.032869,19.79922823,15.47785341,1.071138662,7.141477175,15.50615758,28.70449226,78.82948455,-0.571807743,0.922016139,-3.50947855,-1.22947855,-0.16947855,0.05552145,0.40552145
1,1_seg09,300.0627803,254.209897,67,142,225,367,1592,27.75581395,16.55483761,8,17,25,33,100,1.977900552,0.809360523,0,1,2,3,4,1.966850829,1.696075707,0,1,2,3,10,535.5194091,299.1056771,63.00815657,311.2358447,507.3428259,693.0051276,1840.032869,18.41629066,15.21602232,1.071138662,6.324587952,14.46553677,27.1743579,78.82948455,-0.655224406,0.938493546,-3.50947855,-1.29947855,-0.24447855,0.04552145,0.40552145
1,1_seg10,295.2449799,247.202363,67,142,217,367,1592,27.57326478,16.52077433,8,17,25,33,100,1.975124378,0.821205279,0,1,2,3,4,2,1.723368794,0,1,2,3,10,518.6769817,296.7276988,63.00815657,284.9879757,488.4859245,671.1396475,1840.032869,18.05561965,15.30693349,1.071138662,5.89468821,14.19902982,27.15538927,78.82948455,-0.709279545,0.96229775,-3.50947855,-1.42447855,-0.32947855,0.03052145,0.40552145
