User Code,Unnamed: 0,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
12,1_seg01,272.967741935484,252.587078565125,67,158.5,200,266,1399,48.2758620689655,28.2942403928585,17,33,50,50,133,3.54545454545455,1.6348477827392,0,3.5,4,4.5,5,2.72727272727273,1.55505042303516,0,1.5,3,4,5,474.299801525,516.662558797932,121.173586202512,235.396642137966,311.56051509378,424.081783383345,2494.29294120569,20.3439163270688,16.5001832131297,2.92143789056223,5.52765002642464,13.3787181695591,40.99847993217,51.7544528503914,-0.514952315958235,0.901802235929404,-3.10949777050369,-0.43949777050369,-0.35449777050369,-0.09449777050369,0.21050222949631
12,1_seg02,215.582089552239,186.973758428883,67,117,183,241.5,1399,43.2236842105263,23.7063134680535,17,29,41.5,50,133,3.71428571428571,1.45405835999994,0,4,4,4,6,3.80952380952381,1.96517295979381,0,3,4,5,7,417.036383021454,421.295517586545,77.9423637247028,185.623812598322,280.31909004857,485.157634870624,2494.29294120569,20.2663371679358,17.0860586085403,2.06951417893055,4.76542453082569,12.8366448462323,40.99847993217,51.7544528503914,-0.654735865741785,0.753364911896081,-3.10949777050369,-0.67449777050369,-0.40949777050369,-0.32949777050369,0.21050222949631
12,1_seg03,233.905263157895,181.094078858301,67,133,183,266,1399,40.8348623853211,21.525400052835,17,17,33,50,133,3.64516129032258,1.30507693506996,0,3,4,4,6,3.67741935483871,1.81451732377499,0,3,4,5,7,442.068877194703,394.963303015277,77.9423637247028,195.367167620914,321.636495314774,584.208079796217,2494.29294120569,18.8548969841543,15.0739730722681,2.06951417893055,6.44711653149015,13.1076815078957,30.5248821586958,51.7544528503914,-0.621271964052077,0.649136026303548,-3.10949777050369,-0.75449777050369,-0.46949777050369,-0.26949777050369,0.21050222949631
12,1_seg04,230.868217054264,170.441585477481,67,133,183,266,1399,39.5337837837838,20.8092782617769,17,17,33,50,133,3.75609756097561,1.24057421795066,0,3,4,4,6,3.73170731707317,1.70329666006692,0,3,4,5,7,424.14258757241,372.458655589439,77.9423637247028,190.781896100597,280.31909004857,578.343130572357,2494.29294120569,16.4169327921597,13.6219198003785,1.83318339883822,5.94296650701003,11.3819440277358,20.0813458634387,51.7544528503914,-0.625839233918324,0.567451566644947,-3.10949777050369,-0.71949777050369,-0.54449777050369,-0.33949777050369,0.21050222949631
12,1_seg05,235.352517985611,168.838867670828,67,133,183,266,1399,39.8,20.5036582101829,17,17,33,50,133,3.79545454545455,1.09075492215778,1,3,4,4,6,3.77272727272727,1.56804776214093,1,3,4,5,7,409.593464059786,365.827945071982,77.9423637247028,186.913333473891,270.650850377255,503.549731830198,2494.29294120569,16.0302239351944,13.3281610484873,1.83318339883822,5.98862133419368,11.3398551630002,19.8143667780892,51.7544528503914,-0.562679588685508,0.390587052067947,-2.05949777050369,-0.69949777050369,-0.54699777050369,-0.35074777050369,0.21050222949631
12,2_seg01,224.351351351351,253.026592389923,67,117,150,217,1516,29.0384615384615,18.6010346944565,17,17,17,33,83,4.18181818181818,1.66241882918727,0,4,4,5,6,4.72727272727273,2.61116483933547,0,4,5,5,11,267.412599067523,95.206456002233,99.497725001256,213.954250290582,299.945997449058,317.320052177803,409.34900547657,9.44520819835657,5.9488606036292,1.69146132502135,5.63122208467192,7.25212982731517,14.1198903143542,20.0963818290869,-0.971315952321872,0.901111182727394,-3.10949777050369,-1.42949777050369,-0.52949777050369,-0.31449777050369,-0.01949777050369
12,2_seg02,204.693333333333,189.18430691255,67,117,167,217,1516,31.4285714285714,20.285395060172,17,17,17,50,117,4.28571428571429,1.34695423615122,0,4,4,5,6,5.04761904761905,2.45919073022388,0,4,5,6,11,312.251303861203,193.873162763749,92.267770031923,199.090318242073,280.986616262564,342.851044865998,989.575861494422,12.346739595449,10.5872465619774,1.69146132502135,5.46232430845451,7.99660979439479,15.4456822572805,49.4787930747211,-0.87449777050369,0.70216807104852,-3.10949777050369,-1.21949777050369,-0.52949777050369,-0.33449777050369,-0.01949777050369
12,2_seg03,236.421568627451,279.429455355529,67,133,167,229,1882,32.5925925925926,19.4822139691245,17,17,33,50,117,4.09677419354839,1.53524892030961,0,3.5,4,5,6,4.38709677419355,2.52556817838203,0,3,4,5,11,307.686326538432,186.252729499917,92.267770031923,165.045629992205,280.986616262564,355.121584769313,989.575861494422,11.7779099193898,9.85716594707817,1.69146132502135,5.27947213337146,7.99660979439479,16.0346374531807,49.4787930747211,-0.734981641471432,0.611086948039734,-3.10949777050369,-1.16449777050369,-0.45949777050369,-0.36449777050369,-0.01949777050369
12,2_seg04,240.865671641791,258.299406356231,67,133,167,245.75,1882,34.1294117647059,21.0891532373236,17,17,33,50,117,4.1219512195122,1.46961086603256,0,3,4,5,6,4.17073170731707,2.33347850884029,0,3,4,5,11,329.379295675856,217.395835250413,92.267770031923,191.245226684243,286.824418731336,388.239645473377,1417.22520402812,13.6525824313816,11.3833024535832,1.69146132502135,5.76175610062704,9.56695161402616,17.7001906097091,58.1563721333552,-0.658766063186617,0.554334692419221,-3.10949777050369,-0.83449777050369,-0.42449777050369,-0.34449777050369,-0.01949777050369
12,2_seg05,240.89156626506,239.503628721707,67,133,167,262,1882,35.0190476190476,21.4257283752316,17,17,33,50,117,4.11764705882353,1.36597304253824,0,3,4,5,6,4.15686274509804,2.25718895105933,0,3,4,5,11,337.996283171378,234.689475045625,90.9719794846358,180.102399934662,289.907624667459,423.94489813863,1417.22520402812,14.0732336595756,11.5554469155584,1.69146132502135,5.76175610062704,9.67337163423948,19.4663262612363,58.1563721333552,-0.601360515601729,0.52220777549201,-3.10949777050369,-0.71449777050369,-0.41949777050369,-0.33199777050369,0.10050222949631
