,FD_count,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_count,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_count,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_count,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_count,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_count,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_count,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
1_seg1,25.0,334.4,232.14255677636243,133.0,183.0,233.0,383.0,1133.0,28.0,37.42857142857143,14.082898931968598,17.0,33.0,33.0,50.0,67.0,11.0,2.727272727272727,1.1908743922772955,0.0,2.0,3.0,3.5,4.0,11.0,2.727272727272727,1.489356175728901,0.0,2.0,3.0,4.0,5.0,14.0,401.7446035004023,331.697368983743,66.77757423407263,197.9890058116497,298.6463392555462,381.2246773399874,1189.7513560863433,14.0,14.44318380832409,14.049662975700473,2.203659949724397,5.595807655294894,9.663817857599275,18.57952873161441,50.1765624317792,11.0,-0.19908197790909105,0.8780000517705512,-2.673172887,-0.173172887,-0.008172887000000184,0.16682711299999986,0.566827113
1_seg10,256.0,315.9453125,224.9531126255024,67.0,167.0,250.0,387.25,1649.0,304.0,39.98684210526316,16.449537532839457,17.0,33.0,33.0,50.0,83.0,101.0,3.267326732673267,0.9153260523869172,0.0,3.0,3.0,4.0,5.0,101.0,3.0792079207920797,1.262403804785392,0.0,2.0,3.0,4.0,7.0,181.0,425.1914744996955,300.7741220281505,53.105891867634746,231.54961167907533,333.3570944762528,535.6038290262999,1822.7858154908552,181.0,16.50550673438474,11.683582884761353,1.7524944316319464,7.0289312374803865,13.322105443449464,24.585263020867682,50.1765624317792,101.0,0.22618354864356416,0.3896329448123814,-2.673172887,0.05682711299999976,0.2568271129999995,0.4518271129999998,0.7718271130000001
1_seg11,281.0,318.30960854092524,227.7581899425741,67.0,167.0,250.0,400.0,1649.0,336.0,39.80654761904762,16.884367546593854,17.0,33.0,33.0,50.0,100.0,111.0,3.27027027027027,0.9139917042188268,0.0,3.0,3.0,4.0,5.0,111.0,3.0990990990990985,1.3139458613100186,0.0,2.0,3.0,4.0,7.0,200.0,430.22536081224166,304.5769442117458,53.105891867634746,242.729641666253,335.47307201945233,533.9343816471443,1822.7858154908552,200.0,16.673286682799215,11.433352599711014,1.7524944316319464,7.6149046252507935,13.750036392555947,24.27695110896418,50.1765624317792,111.0,0.236061347234234,0.4010940709190972,-2.673172887,0.05932711299999971,0.2868271129999997,0.4693271129999994,0.8918271129999997
1_seg12,304.0,318.16776315789474,230.7432562622179,67.0,167.0,250.0,400.0,1649.0,365.0,40.336986301369855,17.491721015368448,17.0,33.0,33.0,50.0,100.0,121.0,3.239669421487603,0.9221785202120552,0.0,3.0,3.0,4.0,5.0,121.0,3.0909090909090913,1.3291601358251257,0.0,2.0,3.0,4.0,7.0,213.0,424.6304532070635,297.70748255145014,53.105891867634746,239.08107450212188,336.09543186220964,530.3639449550918,1822.7858154908552,213.0,16.806806270276038,11.541349389681756,1.7524944316319464,7.534555215596442,13.85927701905778,25.453382358368287,50.1765624317792,121.0,0.2729841377933882,0.4059134556418084,-2.673172887,0.07182711299999989,0.3218271129999999,0.4918271129999998,0.8918271129999997
1_seg13,333.0,314.8228228228228,224.7509903656064,67.0,167.0,250.0,400.0,1649.0,400.0,40.345,17.496465092321273,17.0,33.0,33.0,50.0,100.0,131.0,3.2519083969465647,0.914359897586046,0.0,3.0,3.0,4.0,5.0,131.0,3.1297709923664123,1.3149843319621457,0.0,2.0,3.0,4.0,7.0,232.0,422.8297948641867,304.02907854012045,53.105891867634746,237.84909870521213,332.1608802139117,518.8235485743251,1822.7858154908552,232.0,16.473818326687528,11.42696976810278,1.7524944316319464,7.528294084913844,13.337520348663773,24.27695110896418,50.1765624317792,131.0,0.299422532847328,0.4033147993360474,-2.673172887,0.10432711299999986,0.3718271129999997,0.5193271129999999,0.941827113
1_seg14,352.0,320.87215909090907,244.07273942138312,67.0,167.0,250.0,400.0,2215.0,426.0,40.22769953051643,17.331570184156114,17.0,33.0,33.0,50.0,100.0,141.0,3.2127659574468086,0.9547513561004688,0.0,3.0,3.0,4.0,5.0,141.0,3.092198581560284,1.3304172772901963,0.0,2.0,3.0,4.0,7.0,245.0,418.1469067235242,298.53984161059367,53.105891867634746,234.15317131448288,330.2027274795623,513.3759303598472,1822.7858154908552,245.0,16.38522275699069,11.310025110516118,1.7524944316319464,7.534555215596442,13.322105443449464,24.005226153735908,50.1765624317792,141.0,0.32799732576595725,0.4080754649649779,-2.673172887,0.15182711299999996,0.3768271129999996,0.5468271129999995,0.9918271129999998
1_seg15,377.0,320.7586206896552,240.54761900007054,67.0,167.0,250.0,400.0,2215.0,459.0,40.387799564270146,17.31943475569226,17.0,33.0,33.0,50.0,100.0,151.0,3.2185430463576163,0.9790746633776156,0.0,3.0,3.0,4.0,6.0,151.0,3.1059602649006623,1.3374219871618416,0.0,2.0,3.0,4.0,7.0,260.0,418.51677018386,300.8240385113769,53.105891867634746,230.552441281019,327.0296251251452,514.7141859233616,1822.7858154908552,260.0,16.35283215767399,11.191738539017356,1.7524944316319464,7.528294084913844,13.337520348663773,23.985180671850603,50.1765624317792,151.0,0.3347079077019865,0.3971764666937912,-2.673172887,0.16932711299999958,0.381827113,0.5568271129999998,0.9918271129999998
1_seg16,399.0,323.2781954887218,245.36622264858718,67.0,167.0,250.0,400.0,2215.0,486.0,40.679012345679006,17.62425261563284,17.0,33.0,33.0,50.0,100.0,161.0,3.1987577639751548,0.9670824407489615,0.0,3.0,3.0,4.0,6.0,161.0,3.0869565217391304,1.324723104783723,0.0,2.0,3.0,4.0,7.0,277.0,418.14853319736534,298.10204903190964,53.105891867634746,223.16954617596733,330.2027274795623,513.3759303598472,1822.7858154908552,277.0,16.42844916730402,11.297025826843386,1.7524944316319464,7.509510692866048,13.322105443449464,24.005226153735908,54.927164894115,161.0,0.3604606533726706,0.4041828127444466,-2.673172887,0.17682711299999987,0.4118271129999997,0.5718271129999999,1.191827113
1_seg17,421.0,326.6009501187648,244.89706758836627,67.0,167.0,250.0,416.0,2215.0,515.0,40.93980582524272,17.497366893657173,17.0,33.0,33.0,50.0,100.0,171.0,3.181286549707602,0.9621670301339829,0.0,3.0,3.0,4.0,6.0,171.0,3.076023391812865,1.3106165946885968,0.0,2.0,3.0,4.0,7.0,290.0,417.1887336487191,295.0838760881013,53.105891867634746,228.55810048490628,329.29264062699923,512.7940062616399,1822.7858154908552,290.0,16.42676380039854,11.125174357116993,1.7524944316319464,7.662616552401599,13.337520348663773,23.998544326440808,54.927164894115,171.0,0.38825986153801145,0.4111370458261288,-2.673172887,0.191827113,0.4268271129999999,0.6043271130000001,1.2618271129999994
1_seg18,447.0,325.07606263982103,239.74937125599786,67.0,167.0,266.0,416.0,2215.0,547.0,41.22486288848263,17.63484634503613,17.0,33.0,33.0,50.0,100.0,181.0,3.1933701657458564,0.9434924606626144,0.0,3.0,3.0,4.0,6.0,181.0,3.0828729281767955,1.286159023512662,0.0,2.0,3.0,4.0,7.0,307.0,415.9757918113417,300.74179608622916,53.105891867634746,225.3652381314086,325.6766964758543,510.0579405671917,1834.2945447100697,307.0,16.40157017673943,11.024128763512731,1.7524944316319464,7.734758763712094,13.352935253878082,23.607747490670143,54.927164894115,181.0,0.4046171682486185,0.4095293099136254,-2.673172887,0.20182711299999972,0.4368271130000001,0.6468271130000001,1.2618271129999994
1_seg19,466.0,329.5128755364807,240.48590785506497,67.0,167.0,266.0,416.0,2215.0,572.0,41.22727272727273,17.58255257551783,17.0,33.0,33.0,50.0,100.0,191.0,3.1727748691099475,0.9327334738604868,0.0,3.0,3.0,4.0,6.0,191.0,3.0523560209424083,1.2638213560271876,0.0,2.0,3.0,4.0,7.0,320.0,411.21994858862706,297.13946921886935,53.105891867634746,222.93851648906045,324.5693133462123,508.86428145545113,1834.2945447100697,320.0,16.21846147715697,10.887339920265813,1.7524944316319464,7.738610818879173,13.310587398693244,23.19918211525619,54.927164894115,191.0,0.42936638001570654,0.4144091764853299,-2.673172887,0.21682711299999968,0.4618271129999996,0.6843271129999999,1.2618271129999994
1_seg2,50.0,329.06,212.21671730106658,83.0,187.25,266.0,378.75,1133.0,59.0,38.64406779661017,15.285515695071915,17.0,33.0,33.0,50.0,83.0,21.0,3.0476190476190474,1.023532631438318,0.0,3.0,3.0,4.0,4.0,21.0,2.9047619047619047,1.1791845447071423,0.0,2.0,3.0,4.0,5.0,31.0,420.5413593265386,293.284379047119,66.77757423407263,245.7662797307784,330.9646659515705,562.924055650358,1268.120654998479,31.0,14.69832702408997,10.868699268998798,2.1482265705582124,6.830802287268369,11.000784117716343,20.535234358152607,50.1765624317792,21.0,-0.022934791761904928,0.6684262790137672,-2.673172887,-0.06817288700000024,0.05682711299999976,0.2668271129999997,0.6168271129999998
1_seg20,490.0,332.27346938775514,245.00202142274486,67.0,167.0,266.0,416.0,2215.0,598.0,41.411371237458184,17.714221386292664,17.0,33.0,33.0,50.0,100.0,201.0,3.1791044776119404,0.9261539796544908,0.0,3.0,3.0,4.0,6.0,201.0,3.029850746268657,1.2526390053051761,0.0,2.0,3.0,4.0,7.0,338.0,407.5920670897688,295.1375887680556,53.105891867634746,218.9565446094571,324.5693133462123,497.81945635835785,1834.2945447100697,338.0,16.16010462741109,10.896546415017367,1.7524944316319464,7.662616552401599,13.319432521359436,22.557548210299267,54.927164894115,201.0,0.4380708940945272,0.4104911025511172,-2.673172887,0.2268271130000001,0.4668271129999994,0.6968271129999999,1.2618271129999994
1_seg21,513.0,330.84990253411314,242.55041938197778,67.0,167.0,266.0,416.0,2215.0,630.0,41.08095238095238,17.677326492021326,17.0,33.0,33.0,50.0,100.0,211.0,3.170616113744076,0.9356887453208268,0.0,3.0,3.0,4.0,6.0,211.0,3.037914691943128,1.2718503252469364,0.0,2.0,3.0,4.0,7.0,351.0,408.3129494653889,293.5893415762508,53.105891867634746,222.70748680215354,324.6618635024145,497.5622223049948,1834.2945447100697,351.0,16.127194892389213,10.765449212889306,1.7524944316319464,7.734758763712094,13.352935253878082,22.201325498578658,54.927164894115,211.0,0.4466138428578196,0.4060531011652563,-2.673172887,0.2343271129999997,0.4668271129999994,0.6993271129999998,1.2618271129999994
1_seg22,538.0,330.34200743494426,242.5537359903782,67.0,167.0,266.0,416.0,2215.0,665.0,40.97443609022557,17.71182325035194,17.0,33.0,33.0,50.0,100.0,221.0,3.1674208144796383,0.9312880373299548,0.0,3.0,3.0,4.0,6.0,221.0,3.0588235294117645,1.290234816749626,0.0,2.0,3.0,4.0,7.0,367.0,406.6454443873241,289.8965073859412,53.105891867634746,222.70748680215354,324.4767631900101,497.5622223049948,1834.2945447100697,367.0,16.173931617249632,10.81653000107968,1.7524944316319464,7.684095919393713,13.322105443449464,22.532487368978266,54.927164894115,221.0,0.4558090134524884,0.4004207782707053,-2.673172887,0.2518271129999996,0.4768271129999997,0.7018271129999998,1.2618271129999994
