,FD_count,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_count,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_count,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_count,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_count,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_count,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_count,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
1_seg1,24.0,408.08333333333326,409.2595558541927,117.0,162.75,241.5,428.5,1749.0,29.0,36.27586206896552,21.33055580235636,17.0,17.0,33.0,50.0,117.0,11.0,2.636363636363636,1.5666989036012806,0.0,1.5,3.0,4.0,5.0,11.0,2.727272727272727,1.8488325554743508,0.0,1.5,3.0,4.0,5.0,16.0,400.2570349727429,237.11771157977068,156.71337208894366,240.02101928067418,310.1961742859058,561.2673996055223,1071.6312403729914,16.0,16.04705881193309,11.662218278206474,4.085690279828952,8.866949118106254,10.689782302022842,20.80909214703995,43.71215982025985,11.0,-0.09322392772727296,0.8179283698355365,-2.495496655,-0.027996655000000148,0.1145033449999997,0.2720033449999997,0.4745033449999996
1_seg10,253.0,340.0316205533597,274.37760554524914,67.0,167.0,233.0,400.0,1749.0,303.0,39.16501650165017,19.133873881633843,17.0,25.0,33.0,50.0,150.0,101.0,3.277227722772277,1.0307163710855487,0.0,3.0,3.0,4.0,6.0,101.0,3.049504950495049,1.3518597384622593,0.0,2.0,3.0,4.0,7.0,181.0,334.0504553036851,192.47980135240522,55.26095823670872,198.82530561006647,291.8653857804398,406.46260289906985,1071.6312403729914,181.0,15.16904410632767,12.016478893405123,1.6147870850717363,6.600121915254849,11.21517349577419,19.554980847289468,60.9678684273639,101.0,0.1802954242079206,0.33563576438847165,-2.495496655,0.05450334499999965,0.19450334500000024,0.3245033449999997,0.7845033450000001
1_seg11,284.0,332.0070422535212,281.1448954668237,67.0,167.0,233.0,383.0,1832.0,338.0,39.55325443786983,19.213430439630283,17.0,21.0,33.0,50.0,150.0,111.0,3.3243243243243237,1.0967900450625925,0.0,3.0,3.0,4.0,6.0,111.0,3.09009009009009,1.4177417994796548,0.0,2.0,3.0,4.0,7.0,205.0,338.0275252357518,190.93606004368905,50.07546159434534,200.00369440166213,295.36207401043663,409.68582612261474,1071.6312403729914,205.0,15.527657885481595,12.00022900954886,1.6147870850717363,6.796565491644462,11.745363011452081,20.26201225678664,60.9678684273639,111.0,0.17216100265765746,0.3227121006688468,-2.495496655,0.05450334499999965,0.18450334499999954,0.3020033449999997,0.7845033450000001
1_seg12,317.0,323.6656151419558,269.6432039810767,67.0,167.0,233.0,383.0,1832.0,376.0,40.034574468085104,19.377688237208268,17.0,33.0,33.0,50.0,150.0,121.0,3.3884297520661155,1.1058322719897915,0.0,3.0,3.0,4.0,6.0,121.0,3.15702479338843,1.4142622603487771,0.0,2.0,3.0,4.0,7.0,230.0,349.2017910760592,215.45857178933545,50.07546159434534,201.165264605192,296.71333935360803,417.68808973720155,1697.0991423642834,230.0,16.074604909891153,12.604720698252793,1.6147870850717363,6.916617309209133,11.908210507595493,20.75571670324865,60.9678684273639,121.0,0.17768516318181798,0.3117691453623979,-2.495496655,0.05450334499999965,0.18450334499999954,0.31950334499999977,0.7845033450000001
1_seg13,343.0,324.9708454810496,268.1898587141567,67.0,167.0,233.0,383.0,1832.0,404.0,39.82178217821782,19.40460974093768,17.0,17.0,33.0,50.0,150.0,131.0,3.3969465648854964,1.0861320879650596,0.0,3.0,3.0,4.0,6.0,131.0,3.137404580152672,1.4129258175236996,0.0,2.0,3.0,4.0,7.0,252.0,347.3051358122541,211.7210380387283,50.07546159434534,204.19221974780328,299.3485282181845,411.12453818933744,1697.0991423642834,252.0,15.7719571196981,12.505054475525672,1.6147870850717363,6.7843937102490335,11.69700847691343,20.12124441042304,60.9678684273639,131.0,0.1953048717175571,0.30746720700306657,-2.495496655,0.07700334500000006,0.1995033450000001,0.3445033449999999,0.7845033450000001
1_seg14,376.0,318.07180851063833,260.0062310082598,67.0,167.0,233.0,383.0,1832.0,442.0,39.821266968325794,19.071822722905054,17.0,33.0,33.0,50.0,150.0,141.0,3.4609929078014185,1.1181472589987798,0.0,3.0,3.0,4.0,7.0,141.0,3.1843971631205674,1.407139128462085,0.0,2.0,3.0,4.0,7.0,279.0,337.2097436195154,205.5895070352994,50.07546159434534,203.08824399270398,291.44538881161867,398.69778541503,1697.0991423642834,279.0,15.223323009796117,12.182221577625427,1.6147870850717363,6.650748702403474,11.43740692148216,19.54768076087236,60.9678684273639,141.0,0.20528348684397146,0.3026232238326016,-2.495496655,0.0845033449999999,0.2095033449999999,0.3545033449999995,0.7845033450000001
1_seg15,400.0,320.1425,261.724753912917,67.0,167.0,233.0,383.0,1832.0,469.0,40.12366737739872,19.29676179003704,17.0,33.0,33.0,50.0,150.0,151.0,3.450331125827814,1.1116878562009769,0.0,3.0,3.0,4.0,7.0,151.0,3.1523178807947017,1.4177369025827085,0.0,2.0,3.0,4.0,7.0,297.0,334.5382593303652,201.2637432780133,50.07546159434534,203.32539116732707,291.8653857804398,392.8553228383087,1697.0991423642834,297.0,15.23045829111742,12.151098074299442,1.6147870850717363,6.694086194996668,11.427539788753753,19.540380674455253,60.9678684273639,151.0,0.2002318218211919,0.2937915345677347,-2.495496655,0.08700334499999984,0.1995033450000001,0.3445033449999999,0.7845033450000001
1_seg16,425.0,323.10117647058826,273.4740538614314,67.0,167.0,233.0,383.0,2165.0,498.0,39.72489959839358,19.17101429829188,17.0,33.0,33.0,50.0,150.0,161.0,3.4347826086956523,1.1334825136258841,0.0,3.0,3.0,4.0,7.0,161.0,3.1490683229813663,1.4283346076997487,0.0,2.0,3.0,4.0,7.0,315.0,331.6184550080933,197.0344719804144,50.07546159434534,204.06102884170448,293.47905410165583,386.5908488574446,1697.0991423642834,315.0,15.00916312549855,11.947443795997517,1.6147870850717363,6.650748702403474,11.192650172454544,19.215303352162877,60.9678684273639,161.0,0.2133853325776396,0.2916140295596644,-2.495496655,0.09950334499999958,0.2095033449999999,0.3595033449999998,0.7845033450000001
1_seg17,447.0,325.1901565995525,269.3911955238333,67.0,167.0,233.0,383.0,2165.0,528.0,39.71212121212121,19.15799893011148,17.0,29.0,33.0,50.0,150.0,171.0,3.409356725146199,1.1307078190225024,0.0,3.0,3.0,4.0,7.0,171.0,3.1403508771929824,1.4155264639979848,0.0,2.0,3.0,4.0,7.0,327.0,331.8169254109625,195.3251060347281,50.07546159434534,206.85758551339038,293.47905410165583,387.37209848690725,1697.0991423642834,327.0,15.001255150110508,11.797939211801186,1.5615858990776097,6.734013951776247,11.21517349577419,19.29391258968115,60.9678684273639,171.0,0.2305852163450291,0.2929372032063525,-2.495496655,0.1145033449999997,0.21950334499999968,0.3895033449999996,0.7845033450000001
1_seg18,484.0,318.2665289256198,262.762756663451,67.0,167.0,233.0,383.0,2165.0,571.0,39.732049036777575,18.97052207766949,17.0,25.0,33.0,50.0,150.0,181.0,3.4640883977900554,1.1475010883210417,0.0,3.0,3.0,4.0,7.0,181.0,3.220994475138121,1.4243131307453958,0.0,2.0,3.0,4.0,7.0,359.0,339.04935966875814,214.23008953172558,50.07546159434534,211.1305252858157,293.86530842781104,389.1679014105777,2003.8250514931399,359.0,14.97105380731688,11.521734309210505,1.5615858990776097,6.847603254769747,11.43740692148216,19.215303352162877,60.9678684273639,181.0,0.24127130080110484,0.2902612257772073,-2.495496655,0.11450334500000015,0.2395033450000001,0.39950334499999984,0.7845033450000001
