,FD_count,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_count,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_count,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_count,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_count,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_count,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_count,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max
1_seg1,26.0,348.5,511.40569023036886,67.0,183.0,233.5,328.75,2781.0,31.0,40.903225806451616,20.952891349739264,17.0,17.0,33.0,50.0,83.0,11.0,3.0909090909090913,1.5135749373285392,0.0,2.5,4.0,4.0,5.0,11.0,2.8181818181818183,1.9400093720485896,0.0,1.5,3.0,4.0,6.0,16.0,351.72067467145035,211.23642472513237,12.579425764441053,234.3148451520232,325.5502239777618,542.5232304940333,673.9104237850731,16.0,19.516366742652444,14.507591760020066,0.21385023799549804,8.00428337886118,16.98733993086726,29.649918749017843,43.93338126268785,11.0,-0.5372032742538274,0.7905484287390734,-2.7849305469811,-0.4899305469811002,-0.3349305469810999,-0.18243054698110028,0.18006945301889976
1_seg2,54.0,309.42592592592587,418.51122488279816,67.0,137.25,200.0,316.0,2781.0,61.0,38.295081967213115,20.853732089880285,17.0,17.0,33.0,50.0,83.0,21.0,3.333333333333333,1.5275252316519468,0.0,3.0,3.0,4.0,6.0,21.0,3.0,1.949358868961793,0.0,1.0,3.0,4.0,7.0,34.0,312.3079261570713,207.42238388261268,12.579425764441053,150.0171530974303,263.5585260668588,521.6666339422986,673.9104237850731,34.0,16.757995477650834,15.06737546452992,0.21385023799549804,4.3655016189304545,11.555616014831578,26.948868478710068,46.21156510202098,21.0,-0.4896924517430049,0.6299096685050883,-2.7849305469811,-0.5399305469811,-0.3349305469810999,-0.11993054698110005,0.18006945301889976
1_seg3,83.0,302.25301204819283,357.5683063986753,67.0,150.0,217.0,316.0,2781.0,96.0,38.583333333333336,19.48638751142997,17.0,17.0,33.0,50.0,83.0,31.0,3.4516129032258065,1.433845869853041,0.0,3.0,4.0,4.0,6.0,31.0,3.161290322580645,1.9510129709725728,0.0,1.5,3.0,4.5,7.0,56.0,329.767477206269,188.51856010358728,12.579425764441053,207.79868885324848,277.2644936002805,474.93147610151664,700.9215596871236,56.0,16.98170515311417,12.818880874697733,0.21385023799549804,7.387236281534399,13.335391244278865,25.403396342463683,46.21156510202098,31.0,-0.4594466760133582,0.5210939691947919,-2.7849305469811,-0.5099305469811002,-0.4049305469811002,-0.18743054698110015,0.18006945301889976
1_seg4,111.0,304.2072072072072,320.0241501431676,67.0,167.0,217.0,333.0,2781.0,127.0,38.88188976377953,18.743724525794303,17.0,17.0,33.0,50.0,83.0,41.0,3.5365853658536586,1.3247181016278473,0.0,3.0,4.0,4.0,6.0,41.0,3.1463414634146343,1.7686290680885592,0.0,2.0,3.0,4.0,7.0,81.0,306.7010011353192,173.93758726295434,12.579425764441053,187.09639257724342,252.6870971733593,433.27362435960646,700.9215596871236,81.0,15.2927975016355,11.830597498518094,0.21385023799549804,6.0308095151572685,12.340805086005357,22.219122691647854,46.21156510202098,41.0,-0.4410281079567098,0.4543436367375496,-2.7849305469811,-0.4899305469811002,-0.3999305469811003,-0.25493054698109985,0.18006945301889976
1_seg5,123.0,297.5528455284553,308.8296310863298,67.0,167.0,217.0,324.5,2781.0,145.0,37.751724137931035,18.574374161164283,17.0,17.0,33.0,50.0,83.0,44.0,3.636363636363636,1.2406095480609352,1.0,3.0,4.0,4.0,6.0,44.0,3.2954545454545454,1.7989602352799219,0.0,2.0,3.0,4.0,8.0,91.0,295.66284785904605,169.2415862768517,12.579425764441053,179.63954786041762,252.17225426971288,416.7318653168989,700.9215596871236,91.0,14.545678534329292,11.433471408433435,0.21385023799549804,6.102495235103151,11.819267507155828,21.393778318035537,46.21156510202098,44.0,-0.38697600152655465,0.25356600485094144,-1.1299305469811003,-0.4911805469811002,-0.3774305469811001,-0.2524305469810999,0.18006945301889976
2_seg1,32.0,251.90625,223.9071465636103,67.0,145.75,200.0,283.0,1332.0,36.0,34.69444444444444,15.48422135953601,17.0,17.0,33.0,50.0,83.0,11.0,3.5454545454545454,1.752919642404429,0.0,2.5,4.0,5.0,6.0,11.0,3.272727272727273,1.9021518914592013,0.0,2.0,4.0,4.5,6.0,22.0,287.62558178018804,126.18741965825687,117.74560644760572,184.42304460655163,263.37073581197683,390.64486656866865,543.2324623772362,22.0,11.288253416878044,6.071763765287187,2.025474171398892,6.559225159046317,11.978589626380279,15.811258363437886,21.805167416023835,11.0,-0.2640214560720092,0.9811238917226972,-2.7849305469811,-0.2649305469811001,0.14006945301889973,0.3625694530188999,0.4500694530189002
2_seg10,250.0,347.352,313.49046105534177,67.0,167.0,250.0,416.0,2532.0,284.0,36.98943661971831,17.48547790283893,17.0,17.0,33.0,50.0,100.0,101.0,3.277227722772277,1.241924408981385,0.0,2.0,3.0,4.0,6.0,101.0,2.841584158415841,1.6476205465296112,0.0,2.0,3.0,4.0,8.0,194.0,318.4333859383666,218.17961627771928,41.32608934104444,178.21710217527385,258.5485072817144,390.64486656866865,1533.1201775943414,194.0,13.028186837074854,10.035359013055675,1.2461103756054015,5.965248982289915,9.461205428686831,17.3447785699053,54.393259691360505,101.0,-0.03547510143654565,0.40136884594478617,-2.7849305469811,-0.1499305469811003,0.04006945301890008,0.1600694530189002,0.4650694530188999
2_seg11,287.0,334.1463414634146,302.5099076783459,67.0,167.0,250.0,400.0,2532.0,327.0,36.92660550458715,17.88804983181827,17.0,17.0,33.0,50.0,100.0,111.0,3.3783783783783785,1.2508473786274503,0.0,3.0,3.0,4.0,6.0,111.0,2.981981981981982,1.6568424623744245,0.0,2.0,3.0,4.0,8.0,226.0,339.66698667758664,249.60903072114115,41.32608934104444,183.60632461199464,268.96128179446214,399.77219001171204,1533.1201775943414,226.0,13.463805132459585,9.965215467874613,1.2461103756054015,6.034788515598122,10.677202006602538,18.38498119267211,54.393259691360505,111.0,-0.047408024458577586,0.3870534810790328,-2.7849305469811,-0.16743054698109994,0.01006945301889983,0.14506945301890006,0.4650694530188999
2_seg12,306.0,341.92483660130716,326.53760997070924,67.0,167.0,250.0,400.0,2698.0,347.0,37.198847262247845,17.872321703136915,17.0,17.0,33.0,50.0,100.0,121.0,3.330578512396694,1.2740253120985348,0.0,3.0,3.0,4.0,6.0,121.0,2.900826446280992,1.655319499259312,0.0,2.0,3.0,4.0,8.0,242.0,345.78985341909475,252.15072100726098,41.32608934104444,184.42304460655163,274.8050635158918,404.6607230615252,1533.1201775943414,242.0,13.725694225584428,10.022862312068678,1.2461103756054015,6.034788515598122,11.376456864277824,19.30959938566853,54.393259691360505,121.0,-0.06323633210506703,0.4129651688898877,-2.7849305469811,-0.16493054698110002,0.02006945301889962,0.14006945301889973,0.4650694530188999
2_seg13,333.0,337.81981981981977,316.7851557557525,67.0,167.0,250.0,400.0,2698.0,376.0,37.744680851063826,18.199742808563872,17.0,17.0,33.0,50.0,100.0,131.0,3.3435114503816794,1.269591044794239,0.0,3.0,3.0,4.0,6.0,131.0,2.916030534351145,1.6503527265822309,0.0,2.0,3.0,4.0,8.0,266.0,347.1131950573571,248.51775339797004,41.32608934104444,185.7938179879364,283.31839970514585,405.35108450193064,1533.1201775943414,266.0,13.892635937012892,9.88866992777344,1.2461103756054015,6.153801167507541,11.775623282368302,19.406658796680702,54.393259691360505,131.0,-0.06042673018720698,0.4022101703576952,-2.7849305469811,-0.16243054698110004,-0.004930546981099847,0.13756945301889978,0.4650694530188999
